Distribution of wage earners by level of net compensation
Net compensation interval    Number    Cumulative Number    Percent of total    Aggregate amount    Average amount
0.01 - 4,999.99    21,998,602    21,998,602    13.68117    45,947,590,035.97    2,088.66
5,000.00 - 9,999.99    13,624,172    35,622,774    22.15420    100,940,657,957.98    7,408.94
10,000.00 - 14,999.99    12,177,077    47,799,851    29.72726    151,704,646,170.37    12,458.22
15,000.00 - 19,999.99    11,447,662    59,247,513    36.84668    199,948,703,593.05    17,466.34
20,000.00 - 24,999.99    10,963,340    70,210,853    43.66491    246,384,413,969.77    22,473.48
25,000.00 - 29,999.99    10,325,845    80,536,698    50.08666    283,543,493,511.95    27,459.59
30,000.00 - 34,999.99    9,655,024    90,191,722    56.09123    313,279,705,596.26    32,447.33
35,000.00 - 39,999.99    8,789,737    98,981,459    61.55766    329,127,171,707.27    37,444.48
40,000.00 - 44,999.99    7,778,317    106,759,776    66.39508    330,102,410,679.00    42,438.80
45,000.00 - 49,999.99    6,747,818    113,507,594    70.59163    320,111,341,014.06    47,439.24
50,000.00 - 54,999.99    5,908,794    119,416,388    74.26637    309,752,650,640.69    52,422.31
55,000.00 - 59,999.99    5,011,077    124,427,465    77.38282    287,824,282,652.63    57,437.61
60,000.00 - 64,999.99    4,386,907    128,814,372    80.11108    273,799,570,427.85    62,412.90
65,000.00 - 69,999.99    3,749,141    132,563,513    82.44271    252,789,763,641.30    67,426.05
70,000.00 - 74,999.99    3,243,117    135,806,630    84.45964    234,905,731,521.40    72,432.09
75,000.00 - 79,999.99    2,823,966    138,630,596    86.21590    218,667,995,937.92    77,432.94
80,000.00 - 84,999.99    2,434,615    141,065,211    87.73001    200,689,946,433.51    82,431.90
85,000.00 - 89,999.99    2,105,050    143,170,261    89.03917    184,066,380,860.58    87,440.38
90,000.00 - 94,999.99    1,825,535    144,995,796    90.17449    168,725,030,151.96    92,424.98
95,000.00 - 99,999.99    1,585,528    146,581,324    91.16055    154,494,954,100.08    97,440.70
100,000.00 - 104,999.99    1,392,110    147,973,434    92.02631    142,583,353,052.11    102,422.48
105,000.00 - 109,999.99    1,210,012    149,183,446    92.77883    129,991,455,870.66    107,429.89
110,000.00 - 114,999.99    1,053,891    150,237,337    93.43426    118,496,342,039.05    112,437.00
